count,id,lat,lon
2,050306001543,36.323,-94.234
2,050306001648,36.342,-94.243
2,050330000293,33.727,-93.47
2,050332000093,35.937,-89.899
2,050342000102,36.407,-92.907
2,050348000106,35.426,-91.46
2,050377000126,34.42,-93.631
2,050417000155,35.358,-91.678
2,050517000238,33.523,-91.429
2,050714000433,35.324,-92.324
2,050729000442,33.651,-92.78
2,050768000659,34.524,-90.586
2,050777001159,36.252,-91.361
2,050792000515,34.701,-93.062
2,050799000517,36.051,-90.982
2,050804000519,34.951,-90.473
2,050824000544,36.005,-93.191
2,050824000563,36.054,-93.517
2,050824000810,35.689,-93.577
2,050849000565,34.248,-93.64
2,050900001030,34.751,-92.387
2,050900001467,34.746,-92.272
2,050927000665,36.491,-91.541
2,050960000701,35.261,-91.198
2,050978000976,33.747,-93.899
2,051020000964,35.754,-92.288
2,051020001086,35.875,-92.318
2,051026000372,35.631,-94.172
2,051029000877,35.517,-93.965
2,051032000754,34.057,-93.686
2,051041000759,35.37,-92.564
2,051092000820,36.449,-93.196
2,051122000840,33.168,-92.722
2,051161000885,36.28,-90.985
2,051185000603,34.865,-92.404
2,051188000946,35.379,-92.222
2,051200000961,35.335,-92.072
2,051248000886,36.367,-91.2
2,051251000775,33.31,-92.66
2,051257001013,35.429,-92.388
2,051335000678,36.158,-92.994
2,051338001095,35.778,-90.739
2,051404001146,35.581,-92.166
2,051440001171,33.967,-92.041
2,060001509084,34.458,-116.939
2,060002706254,33.682,-117.336
2,060002911921,33.61,-117.131
2,060004205341,33.274,-116.643
2,060201000087,35.886,-119.485
2,060210007300,32.832,-116.816
2,060231012063,37.369,-121.837
2,060300010500,40.878,-124.099
2,060309000242,38.913,-123.693
2,060363013744,35.391,-118.895
2,060744011233,33.554,-117.637
2,060744011266,33.468,-117.598
2,060768007441,40.448,-122.306
2,060861012642,32.617,-116.953
2,060903011359,36.834,-119.684
2,060945012118,40.595,-122.323
2,060948000962,38.031,-120.407
2,061104010438,37.525,-120.804
2,061161001291,38.321,-122.758
2,061218001381,33.976,-118.095
2,061260001423,38.712,-121.463
2,061263001425,37.836,-122.282
2,061293001469,38.691,-122.025
2,061398001605,39.01,-120.844
2,061608002009,36.327,-121.248
2,061632509143,34.011,-117.972
2,061686009376,34.735,-117.358
2,061686013671,34.741,-117.33
2,061959002358,35.609,-118.466
2,062052002473,38.017,-122.675
2,062115002534,36.432,-119.688
2,062235002672,37.126,-121.944
2,062271012881,34.015,-118.249
2,062271012935,33.921,-118.307
2,062271013817,34.275,-118.413
2,062292003504,34.665,-120.111
2,062415003642,39.28,-122.192
2,062622003921,34.021,-117.584
2,062805012053,37.78,-122.213
2,062805012057,37.761,-122.192
2,062865012123,33.785,-117.828
2,062954004558,39.437,-121.547
2,062979004636,37.624,-121.055
